21 11315 36455
0 0 1597.06994629 473.369995117
1 0 721.700012207 522.979980469
2 0 577.909973145 431.890014648
3 0 616.900024414 612.900024414
7 0 890.260009766 564.820129395
12 0 -252.759994507 -274.339996338
16 0 983.689880371 538.939880371
17 0 -1284.40002441 1003.55999756
0 1 1641.86999512 478.630004883
1 1 786.169921875 527.380004883
2 1 618.609985352 434.570098877
3 1 679.210021973 616.289978027
7 1 917.899902344 567.150024414
12 1 -226.43989563 -272.640014648
0 2 603.239990234 237.570098877
1 2 -837.289978027 285.840087891
0 3 1549.64001465 285.380004883
1 3 931.270019531 297.540008545
2 3 727.599975586 175.119995117
4 3 1483.55004883 382.529998779
5 3 1170.52001953 887.979980469
6 3 816.150024414 173.770004272
7 3 893.25 396.049987793
8 3 796.719970703 376.779998779
16 3 957.689880371 404.859985352
17 3 -1000.17999268 593.700012207
0 4 1682.80004883 478.939910889
1 4 845.370117188 522.939880371
2 4 659.840026855 431
3 4 737.369995117 610.349975586
7 4 947.479980469 565.960021973
12 4 -200.800003052 -275.060089111
17 4 -1154.41003418 995.260009766
18 4 28.1200008392 194.11000061
20 4 27.7800292969 -28.8100605011
0 5 1662.39001465 482.049987793
1 5 819.260009766 532.530029297
2 5 642.200012207 439.730010986
3 5 713.489990234 621.25
6 5 819.430114746 326.920013428
7 5 933.100097656 570.320129395
12 5 -212.850006104 -270.980010986
17 5 -1181.61999512 1007.34002686
18 5 19.089969635 197.06010437
0 6 538.570129395 405.429901123
1 6 -947.770019531 660.450012207
2 6 -296.859985352 355.390014648
4 6 879.919921875 443.399993896
5 6 412.399993896 860.780029297
7 6 233.899993896 494.419891357
8 6 -743.659973145 602.299987793
10 6 -249.919998169 -247.009994507
11 6 318.569885254 340.070007324
18 6 -478.670013428 138.149993896
0 7 1662.66003418 469.090087891
1 7 816.649902344 508.380004883
2 7 641.270019531 422.420013428
3 7 709.849975586 595.849975586
18 7 18.8100605011 189.729995728
0 8 1627.90002441 486.429901123
1 8 760.010009766 543.789978027
2 8 600.810119629 447.279998779
3 8 653.469970703 633.760009766
6 8 778.109985352 334.279998779
7 8 909.25 573.200012207
12 8 -233.880004883 -267.130004883
17 8 -1242.18005371 1021.53997803
0 9 451.529998779 438.140014648
1 9 -1130.42004395 755.960021973
2 9 -376.019989014 395.350006104
4 9 829.010009766 458.580108643
7 9 180.160003662 516.939880371
8 9 -890.429992676 659.83001709
9 9 -396.920013428 436.709991455
10 9 -295.589996338 -227.199996948
11 9 259.910003662 365.850006104
12 9 -922.309997559 -323.299987793
18 9 -517.739990234 156.659896851
20 9 -439.350006104 -63.6099891663
0 10 1696.47998047 183.520004272
1 10 1206.88000488 117.189903259
7 10 982.049987793 324.739990234
8 10 998.099975586 219.86000061
9 10 583.810119629 200.649993896
10 10 402.439910889 -396.149993896
12 10 -151.63999939 -522.560119629
17 10 -770.719970703 423.369995117
18 10 88.109992981 -3.48998999596
0 11 1696.47998047 183.520004272
1 11 1206.88000488 117.189903259
6 11 1014.66998291 40.5300292969
8 11 998.099975586 219.86000061
9 11 583.810119629 200.649993896
10 11 402.439910889 -396.149993896
12 11 -151.63999939 -522.560119629
17 11 -770.630004883 423.220001221
18 11 88.109992981 -3.48998999596
20 11 82.3499832153 -198.279998779
0 12 546.969970703 175.050003052
1 12 -945.41998291 170.330093384
2 12 -293.160003662 80.8799972534
3 12 -924.91998291 297.689910889
4 12 882.25 313.060089111
5 12 442.589996338 688.689880371
6 12 -543.609985352 109.559997559
9 12 -327.269989014 199.93989563
10 12 -247.289993286 -396.189910889
11 12 322.790008545 138.289993286
12 12 -873.049987793 -510.079986572
0 13 1593.73999023 177.68989563
1 13 1026.04003906 107.800003052
6 13 877.489990234 35.2700195312
8 13 857.150024414 211.949996948
12 13 -209.18989563 -523.180114746
17 13 -920 422.260009766
0 14 1491.95996094 251.039993286
1 14 752.659912109 219.199996948
